model,cut-off,Fs,experiment,target,accuracy,frames
CV_NN,4,100,E2,pos,0.875,797
CV_NN,4,10,E2,pos,0.918749988079071,797
CV_NN,2,100,E2,pos,0.84375,797
CV_NN,2,10,E2,pos,0.831250011920929,797
CV_NN,2,5,E2,pos,0.856249988079071,797
CV_NN,1,100,E2,pos,0.862500011920929,797
CV_NN,1,10,E2,pos,0.875,797
CV_NN,1,5,E2,pos,0.8812500238418579,797
CV_NN,1,2.5,E2,pos,0.625,797
IQSplit,4,100,E3,pos,0.4199952781200409,21154
IQSplit,4,10,E3,pos,0.37839755415916443,21154
IQSplit,2,100,E3,pos,0.4285039007663727,21154
IQSplit,2,10,E3,pos,0.36870715022087097,21154
IQSplit,2,5,E3,pos,0.369416207075119,21154
IQSplit,1,100,E3,pos,0.42803120613098145,21154
IQSplit,1,10,E3,pos,0.3486173450946808,21154
IQSplit,1,5,E3,pos,0.3646892011165619,21154
IQSplit,1,2.5,E3,pos,0.39446938037872314,21154
CV_NN,4,100,E3,pos,0.4611203074455261,21154
CV_NN,4,10,E3,pos,0.3869061768054962,21154
CV_NN,2,100,E3,pos,0.4611203074455261,21154
CV_NN,2,10,E3,pos,0.3679981231689453,21154
CV_NN,2,5,E3,pos,0.3651618957519531,21154
CV_NN,1,100,E3,pos,0.49633654952049255,21154
CV_NN,1,10,E3,pos,0.3590167760848999,21154
CV_NN,1,5,E3,pos,0.34223586320877075,21154
CV_NN,1,2.5,E3,pos,0.33656346797943115,21154
IQSplit,4,100,E4,dvc,0.7586858868598938,21154
IQSplit,4,10,E4,dvc,0.7083432078361511,21154
IQSplit,2,100,E4,dvc,0.7669581770896912,21154
IQSplit,2,10,E4,dvc,0.6596549153327942,21154
IQSplit,2,5,E4,dvc,0.5993854999542236,21154
IQSplit,1,100,E4,dvc,0.723469614982605,21154
IQSplit,1,10,E4,dvc,0.6112030148506165,21154
IQSplit,1,5,E4,dvc,0.566296398639679,21154
IQSplit,1,2.5,E4,dvc,0.6648546457290649,21154
CV_NN,4,100,E4,dvc,0.822736918926239,21154
CV_NN,4,10,E4,dvc,0.7352871894836426,21154
CV_NN,2,100,E4,dvc,0.8761522173881531,21154
CV_NN,2,10,E4,dvc,0.7636492848396301,21154
CV_NN,2,5,E4,dvc,0.7676672339439392,21154
CV_NN,1,100,E4,dvc,0.8357362151145935,21154
CV_NN,1,10,E4,dvc,0.7549042701721191,21154
CV_NN,1,5,E4,dvc,0.7690853476524353,21154
CV_NN,1,2.5,E4,dvc,0.7390688061714172,21154
IQSplit,4,100,E10,dvc,0.7881286144256592,6064
IQSplit,4,10,E10,dvc,0.6141797304153442,6064
IQSplit,2,100,E10,dvc,0.7765869498252869,6064
IQSplit,2,10,E10,dvc,0.5869744420051575,6064
IQSplit,2,5,E10,dvc,0.6718878746032715,6064
IQSplit,1,100,E10,dvc,0.7889530062675476,6064
IQSplit,1,10,E10,dvc,0.590272068977356,6064
IQSplit,1,5,E10,dvc,0.5845012068748474,6064
IQSplit,1,2.5,E10,dvc,0.5358614921569824,6064
CV_NN,4,100,E10,dvc,0.8763396739959717,6064
CV_NN,4,10,E10,dvc,0.8359439373016357,6064
CV_NN,2,100,E10,dvc,0.8433635830879211,6064
CV_NN,2,10,E10,dvc,0.6257213354110718,6064
CV_NN,2,5,E10,dvc,0.41302555799484253,6064
CV_NN,1,100,E10,dvc,0.8713932633399963,6064
CV_NN,1,10,E10,dvc,0.6471558213233948,6064
CV_NN,1,5,E10,dvc,0.8021434545516968,6064
CV_NN,1,2.5,E10,dvc,0.4006595313549042,6064
IQSplit,4,100,E11,dvc,0.7241093516349792,6035
IQSplit,4,10,E11,dvc,0.6081193089485168,6035
IQSplit,2,100,E11,dvc,0.6594863533973694,6035
IQSplit,2,10,E11,dvc,0.5658657550811768,6035
IQSplit,2,5,E11,dvc,0.4805302321910858,6035
IQSplit,1,100,E11,dvc,0.7207953333854675,6035
IQSplit,1,10,E11,dvc,0.6197183132171631,6035
IQSplit,1,5,E11,dvc,0.5269262790679932,6035
IQSplit,1,2.5,E11,dvc,0.4772162437438965,6035
CV_NN,4,100,E11,dvc,0.8376139402389526,6035
CV_NN,4,10,E11,dvc,0.7514498829841614,6035
CV_NN,2,100,E11,dvc,0.7671914100646973,6035
CV_NN,2,10,E11,dvc,0.741507887840271,6035
CV_NN,2,5,E11,dvc,0.21292459964752197,6035
CV_NN,1,100,E11,dvc,0.7696768641471863,6035
CV_NN,1,10,E11,dvc,0.6893123388290405,6035
CV_NN,1,5,E11,dvc,0.7439934015274048,6035
CV_NN,1,2.5,E11,dvc,0.5178127884864807,6035
IQSplit,4,100,E5,pos,0.45093289017677307,20631
IQSplit,4,10,E5,pos,0.34771019220352173,20631
IQSplit,2,100,E5,pos,0.4034407436847687,20631
IQSplit,2,10,E5,pos,0.3603101670742035,20631
IQSplit,2,5,E5,pos,0.35037556290626526,20631
IQSplit,1,100,E5,pos,0.4259752929210663,20631
IQSplit,1,10,E5,pos,0.349648654460907,20631
IQSplit,1,5,E5,pos,0.34698328375816345,20631
IQSplit,1,2.5,E5,pos,0.32784104347229004,20631
CV_NN,4,100,E5,pos,0.4565059244632721,20631
CV_NN,4,10,E5,pos,0.4073176681995392,20631
CV_NN,2,100,E5,pos,0.5110249519348145,20631
CV_NN,2,10,E5,pos,0.4167676270008087,20631
CV_NN,2,5,E5,pos,0.37799856066703796,20631
CV_NN,1,100,E5,pos,0.4220983684062958,20631
CV_NN,1,10,E5,pos,0.41264840960502625,20631
CV_NN,1,5,E5,pos,0.2987642288208008,20631
CV_NN,1,2.5,E5,pos,0.308941125869751,20631
IQSplit,4,100,E6,dvc,0.7698085904121399,20631
IQSplit,4,10,E6,dvc,0.6205475926399231,20631
IQSplit,2,100,E6,dvc,0.7337048649787903,20631
IQSplit,2,10,E6,dvc,0.6646474599838257,20631
IQSplit,2,5,E6,dvc,0.6326629519462585,20631
IQSplit,1,100,E6,dvc,0.7060819268226624,20631
IQSplit,1,10,E6,dvc,0.6355706453323364,20631
IQSplit,1,5,E6,dvc,0.6086745858192444,20631
IQSplit,1,2.5,E6,dvc,0.5992246270179749,20631
CV_NN,4,100,E6,dvc,0.8468621373176575,20631
CV_NN,4,10,E6,dvc,0.7901623249053955,20631
CV_NN,2,100,E6,dvc,0.8570390343666077,20631
CV_NN,2,10,E6,dvc,0.7361279129981995,20631
CV_NN,2,5,E6,dvc,0.7591471076011658,20631
CV_NN,1,100,E6,dvc,0.8337775468826294,20631
CV_NN,1,10,E6,dvc,0.753089427947998,20631
CV_NN,1,5,E6,dvc,0.7230433821678162,20631
CV_NN,1,2.5,E6,dvc,0.7186818718910217,20631
